iter	Passed	Remaining
1007	42560	2280
1008	42599	2237
1009	42643	2195
1010	42687	2153
1011	42730	2111
1012	42772	2068
1013	42814	2026
1014	42857	1984
1015	42899	1942
1016	42941	1900
1017	42985	1857
1018	43027	1815
1019	43073	1773
1020	43117	1731
1021	43163	1689
1022	43206	1647
1023	43248	1604
1024	43289	1562
1025	43331	1520
1026	43381	1478
1027	43425	1436
1028	43469	1394
1029	43507	1351
1030	43548	1309
1031	43590	1267
1032	43634	1224
1033	43679	1182
1034	43719	1140
1035	43762	1098
1036	43806	1056
1037	43849	1013
1038	43894	971
1039	43935	929
1040	43978	887
1041	44023	844
1042	44066	802
1043	44111	760
1044	44153	718
1045	44196	676
1046	44238	633
1047	44283	591
1048	44323	549
1049	44365	507
1050	44411	464
1051	44454	422
1052	44497	380
1053	44537	338
1054	44576	295
1055	44619	253
1056	44661	211
1057	44702	169
1058	44745	126
1059	44788	84
1060	44829	42
1061	44870	0
